cycle,start,busy,done,error,saturation,state,in_valid,in_ready,in_accept,in_index,gate_data,up_data,in_last,lut_index,sigmoid_q0_16,silu_gate_q12_12,out_index,out_valid,out_ready,out_accept,hidden_data,out_last,input_count,output_count,accepted_before
22,0,1,0,0,0,1,0,0,0,0x000,-9351,5292,0,366,6074,-867,0x000,1,0,0,-1121,0,1,0,0
23,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
24,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
25,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
26,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
27,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
28,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
29,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
30,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
31,0,1,0,0,0,1,1,0,0,0x001,122,-2823,0,514,33280,61,0x000,1,0,0,-1121,0,1,0,0
32,0,1,0,0,0,1,1,1,1,0x001,122,-2823,0,514,33280,61,0x000,1,1,1,-1121,0,1,0,0
33,0,1,0,0,0,1,1,1,1,0x002,4497,488,0,582,49092,3368,0x001,1,1,1,-43,0,2,1,1
34,0,1,0,0,0,1,1,0,0,0x003,-2190,-1263,0,478,24263,-811,0x002,1,0,0,401,0,3,2,2
35,0,1,0,0,0,1,1,1,1,0x003,-2190,-1263,0,478,24263,-811,0x002,1,1,1,401,0,3,2,2
36,0,1,0,0,0,1,1,1,1,0x004,-4403,-1116,0,443,16637,-1118,0x003,1,1,1,250,0,4,3,3
37,0,1,0,0,0,1,0,1,0,0x004,-4403,-1116,0,443,16637,-1118,0x004,1,1,1,304,0,5,4,4
38,0,1,0,0,0,1,1,1,1,0x005,-291,2400,0,507,31489,-140,0x004,0,0,0,304,0,5,5,5
39,0,1,0,0,0,1,1,1,1,0x006,-9051,221,0,371,6519,-901,0x005,1,1,1,-83,0,6,5,5
40,0,1,0,0,0,1,1,1,1,0x007,-1231,-2413,0,493,27939,-525,0x006,1,1,1,-49,0,7,6,6
41,0,1,0,0,0,1,1,1,1,0x008,2747,466,0,555,43380,1818,0x007,1,1,1,309,0,8,7,7
42,0,1,0,0,0,1,0,1,0,0x008,2747,466,0,555,43380,1818,0x008,1,1,1,206,0,9,8,8
43,0,1,0,0,0,1,0,1,0,0x008,2747,466,0,555,43380,1818,0x008,0,1,0,206,0,9,9,9
44,0,1,0,0,0,1,1,1,1,0x009,1331,-432,0,533,38096,773,0x008,0,1,0,206,0,9,9,9
45,0,1,0,0,0,1,1,0,0,0x00a,-3578,243,0,456,19282,-1053,0x009,1,0,0,-82,0,10,9,9
46,0,1,0,0,0,1,1,1,1,0x00a,-3578,243,0,456,19282,-1053,0x009,1,1,1,-82,0,10,9,9
47,0,1,0,0,0,1,0,1,0,0x00a,-3578,243,0,456,19282,-1053,0x00a,1,1,1,-63,0,11,10,10
48,0,1,0,0,0,1,1,1,1,0x00b,-8356,-196,0,381,7495,-956,0x00a,0,1,0,-63,0,11,11,11
49,0,1,0,0,0,1,1,1,1,0x00c,-3213,-1360,0,462,20582,-1010,0x00b,1,1,1,45,0,12,11,11
50,0,1,0,0,0,1,1,1,1,0x00d,4119,670,0,576,47911,3011,0x00c,1,1,1,335,0,13,12,12
51,0,1,0,0,0,1,1,1,1,0x00e,-3442,55,0,458,19710,-1036,0x00d,1,1,1,492,0,14,13,13
52,0,1,0,0,0,1,0,0,0,0x00e,-3442,55,0,458,19710,-1036,0x00e,1,0,0,-14,0,15,14,14
53,0,1,0,0,0,1,1,1,1,0x00f,-2773,-2413,0,469,22156,-938,0x00e,1,1,1,-14,0,15,14,14
54,0,1,0,0,0,1,1,1,1,0x010,984,-854,0,527,36591,549,0x00f,1,1,1,552,0,16,15,15
55,0,1,0,0,0,1,1,1,1,0x011,-2191,-938,0,478,24263,-812,0x010,1,1,1,-115,0,17,16,16
56,0,1,0,0,0,1,1,1,1,0x012,-304,4212,0,507,31489,-147,0x011,1,1,1,185,0,18,17,17
57,0,1,0,0,0,1,0,0,0,0x012,-304,4212,0,507,31489,-147,0x012,1,0,0,-152,0,19,18,18
58,0,1,0,0,0,1,1,1,1,0x013,1191,-941,0,531,37597,683,0x012,1,1,1,-152,0,19,18,18
59,0,1,0,0,0,1,1,0,0,0x014,-3104,-293,0,464,21025,-996,0x013,1,0,0,-157,0,20,19,19
60,0,1,0,0,0,1,1,1,1,0x014,-3104,-293,0,464,21025,-996,0x013,1,1,1,-157,0,20,19,19
61,0,1,0,0,0,1,1,1,1,0x015,104,-127,0,514,33280,52,0x014,1,1,1,71,0,21,20,20
62,0,1,0,0,0,1,0,1,0,0x015,104,-127,0,514,33280,52,0x015,1,1,1,-2,0,22,21,21
63,0,1,0,0,0,1,1,1,1,0x016,-6911,-1347,0,404,10230,-1079,0x015,0,1,0,-2,0,22,22,22
64,0,1,0,0,0,1,1,1,1,0x017,-1317,445,0,491,27440,-552,0x016,1,1,1,354,0,23,22,22
65,0,1,0,0,0,1,1,1,1,0x018,-311,1813,0,507,31489,-150,0x017,1,1,1,-60,0,24,23,23
66,0,1,0,0,0,1,1,0,0,0x019,-3118,568,0,463,20803,-990,0x018,1,0,0,-67,0,25,24,24
67,0,1,0,0,0,1,1,1,1,0x019,-3118,568,0,463,20803,-990,0x018,1,1,1,-67,0,25,24,24
68,0,1,0,0,0,1,1,1,1,0x01a,1013,1906,0,528,36843,569,0x019,1,1,1,-138,0,26,25,25
69,0,1,0,0,0,1,1,1,1,0x01b,-2156,-3445,0,478,24263,-799,0x01a,1,1,1,264,0,27,26,26
70,0,1,0,0,0,1,1,1,1,0x01c,-6231,-1968,0,415,11803,-1123,0x01b,1,1,1,672,0,28,27,27
71,0,1,0,0,0,1,1,1,1,0x01d,-9348,-1929,0,366,6074,-867,0x01c,1,1,1,539,0,29,28,28
72,0,1,0,0,0,1,0,1,0,0x01d,-9348,-1929,0,366,6074,-867,0x01d,1,1,1,408,0,30,29,29
73,0,1,0,0,0,1,1,1,1,0x01e,-4910,-2253,0,435,15134,-1134,0x01d,0,0,0,408,0,30,30,30
74,0,1,0,0,0,1,1,1,1,0x01f,-5922,89,0,419,12420,-1123,0x01e,1,1,1,623,0,31,30,30
75,0,1,0,0,0,1,1,1,1,0x020,-1580,1169,0,487,26448,-638,0x01f,1,1,1,-25,0,32,31,31
76,0,1,0,0,0,1,1,1,1,0x021,-333,-2048,0,507,31489,-161,0x020,1,1,1,-183,0,33,32,32
77,0,1,0,0,0,1,0,1,0,0x021,-333,-2048,0,507,31489,-161,0x021,1,1,1,80,0,34,33,33
78,0,1,0,0,0,1,1,1,1,0x022,-1386,-2626,0,490,27191,-576,0x021,0,1,0,80,0,34,34,34
79,0,1,0,0,0,1,1,1,1,0x023,-9558,217,0,363,5821,-849,0x022,1,1,1,369,0,35,34,34
80,0,1,0,0,0,1,1,0,0,0x024,-2023,-308,0,480,24743,-764,0x023,1,0,0,-45,0,36,35,35
81,0,1,0,0,0,1,1,1,1,0x024,-2023,-308,0,480,24743,-764,0x023,1,1,1,-45,0,36,35,35
82,0,1,0,0,0,1,0,1,0,0x024,-2023,-308,0,480,24743,-764,0x024,1,1,1,57,0,37,36,36
83,0,1,0,0,0,1,1,1,1,0x025,2350,926,0,549,41985,1505,0x024,0,1,0,57,0,37,37,37
84,0,1,0,0,0,1,1,1,1,0x026,-350,507,0,507,31489,-169,0x025,1,1,1,340,0,38,37,37
85,0,1,0,0,0,1,1,1,1,0x027,-687,-175,0,501,29959,-315,0x026,1,1,1,-21,0,39,38,38
86,0,1,0,0,0,1,1,1,1,0x028,1704,631,0,539,39579,1029,0x027,1,1,1,13,0,40,39,39
87,0,1,0,0,0,1,0,0,0,0x028,1704,631,0,539,39579,1029,0x028,1,0,0,158,0,41,40,40
88,0,1,0,0,0,1,1,1,1,0x029,1795,-752,0,540,39824,1090,0x028,1,1,1,158,0,41,40,40
89,0,1,0,0,0,1,1,1,1,0x02a,-6694,1150,0,407,10642,-1087,0x029,1,1,1,-201,0,42,41,41
90,0,1,0,0,0,1,1,1,1,0x02b,-2071,1921,0,480,24743,-782,0x02a,1,1,1,-306,0,43,42,42
91,0,1,0,0,0,1,1,1,1,0x02c,2598,194,0,553,42919,1701,0x02b,1,1,1,-367,0,44,43,43
92,0,1,0,0,0,1,0,1,0,0x02c,2598,194,0,553,42919,1701,0x02c,1,1,1,80,0,45,44,44
93,0,1,0,0,0,1,1,1,1,0x02d,-4447,763,0,443,16637,-1129,0x02c,0,1,0,80,0,45,45,45
94,0,1,0,0,0,1,0,0,0,0x02d,-4447,763,0,443,16637,-1129,0x02d,1,0,0,-211,0,46,45,45
95,0,1,0,0,0,1,1,1,1,0x02e,2600,-167,0,553,42919,1702,0x02d,1,1,1,-211,0,46,45,45
96,0,1,0,0,0,1,1,1,1,0x02f,-4007,3528,0,449,17827,-1090,0x02e,1,1,1,-70,0,47,46,46
97,0,1,0,0,0,1,0,1,0,0x02f,-4007,3528,0,449,17827,-1090,0x02f,1,1,1,-939,0,48,47,47
98,1,1,0,0,0,1,1,1,1,0x030,-535,396,0,504,30723,-251,0x02f,0,1,0,-939,0,48,48,48
99,0,1,0,0,0,1,1,1,1,0x031,1970,-144,0,543,40552,1218,0x030,1,1,1,-25,0,49,48,48
100,0,1,0,0,0,1,1,1,1,0x032,-6319,1769,0,413,11504,-1110,0x031,1,1,1,-43,0,50,49,49
101,0,1,0,0,0,1,1,0,0,0x033,-6321,-809,0,413,11504,-1110,0x032,1,0,0,-480,0,51,50,50
102,0,1,0,0,0,1,1,1,1,0x033,-6321,-809,0,413,11504,-1110,0x032,1,1,1,-480,0,51,50,50
103,0,1,0,0,0,1,1,0,0,0x034,-6618,-900,0,409,10923,-1104,0x033,1,0,0,219,0,52,51,51
104,0,1,0,0,0,1,1,1,1,0x034,-6618,-900,0,409,10923,-1104,0x033,1,1,1,219,0,52,51,51
105,0,1,0,0,0,1,1,1,1,0x035,-82,456,0,511,32512,-41,0x034,1,1,1,242,0,53,52,52
106,0,1,0,0,0,1,1,1,1,0x036,2317,256,0,548,41748,1475,0x035,1,1,1,-5,0,54,53,53
107,0,1,0,0,0,1,0,1,0,0x036,2317,256,0,548,41748,1475,0x036,1,1,1,92,0,55,54,54
108,0,1,0,0,0,1,1,1,1,0x037,-3439,624,0,458,19710,-1035,0x036,0,0,0,92,0,55,55,55
109,0,1,0,0,0,1,1,1,1,0x038,-2400,-910,0,475,23551,-863,0x037,1,1,1,-158,0,56,55,55
110,0,1,0,0,0,1,1,1,1,0x039,-451,280,0,505,30978,-214,0x038,1,1,1,191,0,57,56,56
111,0,1,0,0,0,1,0,1,0,0x039,-451,280,0,505,30978,-214,0x039,1,1,1,-15,0,58,57,57
112,0,1,0,0,0,1,0,1,0,0x039,-451,280,0,505,30978,-214,0x039,0,1,0,-15,0,58,58,58
113,0,1,0,0,0,1,1,1,1,0x03a,1161,-1187,0,530,37346,661,0x039,0,1,0,-15,0,58,58,58
114,0,1,0,0,0,1,1,1,1,0x03b,-1880,1169,0,483,25468,-731,0x03a,1,1,1,-192,0,59,58,58
115,0,1,0,0,0,1,1,0,0,0x03c,-1537,-1163,0,488,26695,-627,0x03b,1,0,0,-209,0,60,59,59
116,0,1,0,0,0,1,1,1,1,0x03c,-1537,-1163,0,488,26695,-627,0x03b,1,1,1,-209,0,60,59,59
117,0,1,0,0,0,1,0,1,0,0x03c,-1537,-1163,0,488,26695,-627,0x03c,1,1,1,178,0,61,60,60
118,0,1,0,0,0,1,1,1,1,0x03d,-3675,1485,0,455,19070,-1070,0x03c,0,1,0,178,0,61,61,61
119,0,1,0,0,0,1,1,1,1,0x03e,-5525,473,0,426,13559,-1144,0x03d,1,1,1,-388,0,62,61,61
120,0,1,0,0,0,1,1,1,1,0x03f,-10038,39,0,355,5191,-796,0x03e,1,1,1,-133,0,63,62,62
121,0,1,0,0,0,1,1,1,1,0x040,-12049,-25,0,324,3298,-607,0x03f,1,1,1,-8,0,64,63,63
122,0,1,0,0,0,1,0,0,0,0x040,-12049,-25,0,324,3298,-607,0x040,1,0,0,3,0,65,64,64
123,0,1,0,0,0,1,1,1,1,0x041,-3705,2337,0,454,18859,-1067,0x040,1,1,1,3,0,65,64,64
124,0,1,0,0,0,1,1,1,1,0x042,-6527,805,0,410,11066,-1103,0x041,1,1,1,-609,0,66,65,65
125,0,1,0,0,0,1,1,1,1,0x043,141,-467,0,514,33280,71,0x042,1,1,1,-217,0,67,66,66
126,0,1,0,0,0,1,1,0,0,0x044,-971,1350,0,497,28945,-429,0x043,1,0,0,-9,0,68,67,67
127,0,1,0,0,0,1,1,1,1,0x044,-971,1350,0,497,28945,-429,0x043,1,1,1,-9,0,68,67,67
128,0,1,0,0,0,1,0,1,0,0x044,-971,1350,0,497,28945,-429,0x044,1,1,1,-142,0,69,68,68
129,0,1,0,0,0,1,1,1,1,0x045,-6735,-472,0,407,10642,-1094,0x044,0,0,0,-142,0,69,69,69
130,0,1,0,0,0,1,1,1,1,0x046,-2112,158,0,479,24502,-790,0x045,1,1,1,126,0,70,69,69
131,0,1,0,0,0,1,1,1,1,0x047,-7924,611,0,388,8252,-998,0x046,1,1,1,-31,0,71,70,70
132,0,1,0,0,0,1,0,1,0,0x047,-7924,611,0,388,8252,-998,0x047,1,1,1,-149,0,72,71,71
133,0,1,0,0,0,1,1,1,1,0x048,-5247,-59,0,430,14243,-1141,0x047,0,1,0,-149,0,72,72,72
134,0,1,0,0,0,1,1,1,1,0x049,-489,-353,0,504,30723,-230,0x048,1,1,1,16,0,73,72,72
135,0,1,0,0,0,1,1,1,1,0x04a,1701,-1600,0,539,39579,1027,0x049,1,1,1,19,0,74,73,73
136,0,1,0,0,0,1,1,0,0,0x04b,-1243,-69,0,493,27939,-530,0x04a,1,0,0,-402,0,75,74,74
137,0,1,0,0,0,1,1,1,1,0x04b,-1243,-69,0,493,27939,-530,0x04a,1,1,1,-402,0,75,74,74
138,0,1,0,0,0,1,1,1,1,0x04c,357,546,0,518,34303,186,0x04b,1,1,1,8,0,76,75,75
139,0,1,0,0,0,1,1,1,1,0x04d,510,657,0,520,34813,270,0x04c,1,1,1,24,0,77,76,76
140,0,1,0,0,0,1,1,1,1,0x04e,412,972,0,518,34303,215,0x04d,1,1,1,43,0,78,77,77
141,0,1,0,0,0,1,1,1,1,0x04f,-739,-2223,0,500,29705,-335,0x04e,1,1,1,51,0,79,78,78
142,0,1,0,0,0,1,0,1,0,0x04f,-739,-2223,0,500,29705,-335,0x04f,1,1,1,181,0,80,79,79
143,0,1,0,0,0,1,1,1,1,0x050,-246,891,0,508,31744,-120,0x04f,0,0,0,181,0,80,80,80
144,0,1,0,0,0,1,1,1,1,0x051,-4274,-1259,0,445,17028,-1111,0x050,1,1,1,-27,0,81,80,80
145,0,1,0,0,0,1,0,1,0,0x051,-4274,-1259,0,445,17028,-1111,0x051,1,1,1,341,0,82,81,81
146,0,1,0,0,0,1,1,1,1,0x052,-5490,4531,0,426,13559,-1136,0x051,0,1,0,341,0,82,82,82
147,0,1,0,0,0,1,0,1,0,0x052,-5490,4531,0,426,13559,-1136,0x052,1,1,1,-1257,0,83,82,82
148,0,1,0,0,0,1,1,1,1,0x053,2179,-1614,0,546,41273,1372,0x052,0,1,0,-1257,0,83,83,83
149,0,1,0,0,0,1,1,0,0,0x054,-8287,-2130,0,383,7705,-975,0x053,1,0,0,-541,0,84,83,83
150,0,1,0,0,0,1,1,0,0,0x054,-8287,-2130,0,383,7705,-975,0x053,1,0,0,-541,0,84,83,83
151,0,1,0,0,0,1,1,1,1,0x054,-8287,-2130,0,383,7705,-975,0x053,1,1,1,-541,0,84,83,83
152,0,1,0,0,0,1,0,1,0,0x054,-8287,-2130,0,383,7705,-975,0x054,1,1,1,507,0,85,84,84
153,0,1,0,0,0,1,1,1,1,0x055,-1087,1357,0,495,28441,-472,0x054,0,1,0,507,0,85,85,85
154,0,1,0,0,0,1,1,1,1,0x056,-3432,36,0,458,19710,-1033,0x055,1,1,1,-157,0,86,85,85
155,0,1,0,0,0,1,1,1,1,0x057,-3259,212,0,461,20362,-1013,0x056,1,1,1,-10,0,87,86,86
156,0,1,0,0,0,1,1,1,1,0x058,-1207,3080,0,493,27939,-515,0x057,1,1,1,-53,0,88,87,87
157,0,1,0,0,0,1,0,0,0,0x058,-1207,3080,0,493,27939,-515,0x058,1,0,0,-388,0,89,88,88
158,0,1,0,0,0,1,1,1,1,0x059,-4769,-427,0,437,15500,-1128,0x058,1,1,1,-388,0,89,88,88
159,0,1,0,0,0,1,1,1,1,0x05a,-14030,-843,0,293,2072,-444,0x059,1,1,1,117,0,90,89,89
160,0,1,0,0,0,1,1,1,1,0x05b,-8469,-1147,0,380,7392,-956,0x05a,1,1,1,91,0,91,90,90
161,0,1,0,0,0,1,1,1,1,0x05c,-1250,1418,0,492,27689,-529,0x05b,1,1,1,267,0,92,91,91
162,0,1,0,0,0,1,0,1,0,0x05c,-1250,1418,0,492,27689,-529,0x05c,1,1,1,-184,0,93,92,92
163,0,1,0,0,0,1,1,1,1,0x05d,-3647,105,0,455,19070,-1062,0x05c,0,1,0,-184,0,93,93,93
164,0,1,0,0,0,1,1,0,0,0x05e,2230,6,0,547,41511,1412,0x05d,1,0,0,-28,0,94,93,93
165,0,1,0,0,0,1,1,1,1,0x05e,2230,6,0,547,41511,1412,0x05d,1,1,1,-28,0,94,93,93
166,0,1,0,0,0,1,1,1,1,0x05f,-2420,1980,0,474,23316,-861,0x05e,1,1,1,2,0,95,94,94
167,0,1,0,0,0,1,0,1,0,0x05f,-2420,1980,0,474,23316,-861,0x05f,1,1,1,-417,0,96,95,95
168,0,1,0,0,0,1,1,1,1,0x060,-5404,6069,0,428,13898,-1147,0x05f,0,1,0,-417,0,96,96,96
169,0,1,0,0,0,1,1,1,1,0x061,-2524,918,0,473,23082,-889,0x060,1,1,1,-1700,0,97,96,96
170,0,1,0,0,0,1,1,1,1,0x062,-8425,-2858,0,380,7392,-951,0x061,1,1,1,-200,0,98,97,97
171,0,1,0,0,0,1,1,0,0,0x063,-1877,201,0,483,25468,-730,0x062,1,0,0,663,0,99,98,98
172,0,1,0,0,0,1,1,0,0,0x063,-1877,201,0,483,25468,-730,0x062,1,0,0,663,0,99,98,98
173,0,1,0,0,0,1,1,1,1,0x063,-1877,201,0,483,25468,-730,0x062,1,1,1,663,0,99,98,98
174,0,1,0,0,0,1,1,1,1,0x064,-5416,920,0,427,13728,-1135,0x063,1,1,1,-36,0,100,99,99
175,0,1,0,0,0,1,1,1,1,0x065,795,-469,0,524,35831,434,0x064,1,1,1,-255,0,101,100,100
176,0,1,0,0,0,1,1,1,1,0x066,-2239,574,0,477,24025,-821,0x065,1,1,1,-50,0,102,101,101
177,0,1,0,0,0,1,0,1,0,0x066,-2239,574,0,477,24025,-821,0x066,1,1,1,-116,0,103,102,102
178,0,1,0,0,0,1,1,1,1,0x067,-2467,-387,0,473,23082,-869,0x066,0,0,0,-116,0,103,103,103
179,0,1,0,0,0,1,0,1,0,0x067,-2467,-387,0,473,23082,-869,0x067,1,1,1,82,0,104,103,103
180,0,1,0,0,0,1,1,1,1,0x068,1856,2630,0,541,40068,1134,0x067,0,1,0,82,0,104,104,104
181,0,1,0,0,0,1,1,1,1,0x069,-3405,2219,0,459,19926,-1036,0x068,1,1,1,728,0,105,104,104
182,0,1,0,0,0,1,0,1,0,0x069,-3405,2219,0,459,19926,-1036,0x069,1,1,1,-562,0,106,105,105
183,0,1,0,0,0,1,1,1,1,0x06a,-7385,110,0,397,9321,-1051,0x069,0,1,0,-562,0,106,106,106
184,0,1,0,0,0,1,1,1,1,0x06b,-3071,-1526,0,464,21025,-986,0x06a,1,1,1,-29,0,107,106,106
185,0,1,0,0,0,1,1,0,0,0x06c,-4189,-1336,0,447,17425,-1114,0x06b,1,0,0,367,0,108,107,107
186,0,1,0,0,0,1,1,1,1,0x06c,-4189,-1336,0,447,17425,-1114,0x06b,1,1,1,367,0,108,107,107
187,0,1,0,0,0,1,0,1,0,0x06c,-4189,-1336,0,447,17425,-1114,0x06c,1,1,1,363,0,109,108,108
188,0,1,0,0,0,1,1,1,1,0x06d,-7634,526,0,393,8833,-1029,0x06c,0,1,0,363,0,109,109,109
189,0,1,0,0,0,1,1,1,1,0x06e,2374,-3721,0,549,41985,1520,0x06d,1,1,1,-133,0,110,109,109
190,0,1,0,0,0,1,1,1,1,0x06f,-153,-1292,0,510,32256,-76,0x06e,1,1,1,-1381,0,111,110,110
191,0,1,0,0,0,1,1,1,1,0x070,-6328,-600,0,413,11504,-1111,0x06f,1,1,1,23,0,112,111,111
192,0,1,0,0,0,1,0,0,0,0x070,-6328,-600,0,413,11504,-1111,0x070,1,0,0,162,0,113,112,112
193,0,1,0,0,0,1,1,1,1,0x071,-1678,-472,0,486,26202,-671,0x070,1,1,1,162,0,113,112,112
194,0,1,0,0,0,1,1,1,1,0x072,-2677,-927,0,470,22386,-915,0x071,1,1,1,77,0,114,113,113
195,0,1,0,0,0,1,1,0,0,0x073,-596,89,0,503,30468,-278,0x072,1,0,0,207,0,115,114,114
196,0,1,0,0,0,1,1,1,1,0x073,-596,89,0,503,30468,-278,0x072,1,1,1,207,0,115,114,114
197,0,1,0,0,0,1,0,1,0,0x073,-596,89,0,503,30468,-278,0x073,1,1,1,-7,0,116,115,115
198,0,1,0,0,0,1,1,1,1,0x074,-7268,-972,0,398,9447,-1048,0x073,0,1,0,-7,0,116,116,116
199,0,1,0,0,0,1,1,0,0,0x075,1422,138,0,534,38345,832,0x074,1,0,0,248,0,117,116,116
200,0,1,0,0,0,1,1,1,1,0x075,1422,138,0,534,38345,832,0x074,1,1,1,248,0,117,116,116
201,0,1,0,0,0,1,1,1,1,0x076,-150,-1858,0,510,32256,-74,0x075,1,1,1,28,0,118,117,117
202,0,1,0,0,0,1,0,1,0,0x076,-150,-1858,0,510,32256,-74,0x076,1,1,1,33,0,119,118,118
203,0,1,0,0,0,1,1,1,1,0x077,-1017,555,0,496,28693,-446,0x076,0,1,0,33,0,119,119,119
204,0,1,0,0,0,1,1,1,1,0x078,-3194,1043,0,462,20582,-1004,0x077,1,1,1,-61,0,120,119,119
205,0,1,0,0,0,1,1,1,1,0x079,5667,-3583,0,601,52474,4537,0x078,1,1,1,-256,0,121,120,120
206,0,1,0,0,0,1,1,0,0,0x07a,-2855,-1619,0,467,21700,-946,0x079,1,0,0,-3969,0,122,121,121
207,0,1,0,0,0,1,1,1,1,0x07a,-2855,-1619,0,467,21700,-946,0x079,1,1,1,-3969,0,122,121,121
208,0,1,0,0,0,1,1,1,1,0x07b,-670,278,0,502,30213,-309,0x07a,1,1,1,373,0,123,122,122
209,0,1,0,0,0,1,1,1,1,0x07c,897,435,0,526,36338,497,0x07b,1,1,1,-21,0,124,123,123
210,0,1,0,0,0,1,1,1,1,0x07d,-6396,-524,0,412,11357,-1109,0x07c,1,1,1,52,0,125,124,124
211,0,1,0,0,0,1,1,1,1,0x07e,-1956,-990,0,481,24984,-746,0x07d,1,1,1,141,0,126,125,125
212,0,1,0,0,0,1,0,1,0,0x07e,-1956,-990,0,481,24984,-746,0x07e,1,1,1,180,0,127,126,126
213,0,1,0,0,0,1,0,1,0,0x07e,-1956,-990,0,481,24984,-746,0x07e,0,0,0,180,0,127,127,127
214,0,1,0,0,0,1,1,1,1,0x07f,-3810,200,0,452,18442,-1073,0x07e,0,1,0,180,0,127,127,127
215,0,1,0,0,0,1,1,1,1,0x080,-3698,185,0,454,18859,-1065,0x07f,1,1,1,-53,0,128,127,127
216,0,1,0,0,0,1,1,1,1,0x081,-6016,-1374,0,418,12264,-1126,0x080,1,1,1,-49,0,129,128,128
217,0,1,0,0,0,1,0,1,0,0x081,-6016,-1374,0,418,12264,-1126,0x081,1,1,1,377,0,130,129,129
218,0,1,0,0,0,1,1,1,1,0x082,3105,-1909,0,561,44733,2119,0x081,0,0,0,377,0,130,130,130
219,0,1,0,0,0,1,1,1,1,0x083,-1987,422,0,481,24984,-758,0x082,1,1,1,-988,0,131,130,130
220,0,1,0,0,0,1,1,0,0,0x084,1915,187,0,542,40310,1177,0x083,1,0,0,-79,0,132,131,131
221,0,1,0,0,0,1,1,1,1,0x084,1915,187,0,542,40310,1177,0x083,1,1,1,-79,0,132,131,131
222,0,1,0,0,0,1,0,1,0,0x084,1915,187,0,542,40310,1177,0x084,1,1,1,53,0,133,132,132
